f,attack,aggregator,seed,accuracy,macro_f1,retained
0.3,sign_flip,fedavg,0,0.1833,0.0908,20.71
0.3,sign_flip,fedavg,1,0.2021,0.0673,23.28
0.3,sign_flip,fedavg,2,0.1877,0.0632,21.54
0.3,sign_flip,fedavg,3,0.1946,0.0651,22.06
0.3,sign_flip,fedavg,4,0.1964,0.1068,22.66
0.3,sign_flip,krum,0,0.8545,0.8556,99.68
0.3,sign_flip,krum,1,0.838,0.8384,99.52
0.3,sign_flip,krum,2,0.8449,0.8443,99.91
0.3,sign_flip,krum,3,0.8534,0.8535,100.81
0.3,sign_flip,krum,4,0.8406,0.8408,100.13
0.3,sign_flip,median,0,0.838,0.8386,96.55
0.3,sign_flip,median,1,0.829,0.8296,98.7
0.3,sign_flip,median,2,0.8319,0.8305,98.42
0.3,sign_flip,median,3,0.8384,0.8391,97.21
0.3,sign_flip,median,4,0.831,0.8294,97.35
0.3,sign_flip,trimmed_mean,0,0.2047,0.0687,23.39
0.3,sign_flip,trimmed_mean,1,0.1879,0.0633,21.98
0.3,sign_flip,trimmed_mean,2,0.1877,0.0632,21.91
0.3,sign_flip,trimmed_mean,3,0.2564,0.1745,29.42
0.3,sign_flip,trimmed_mean,4,0.1287,0.0762,14.96
0.3,sign_flip,fltrust,0,0.8047,0.7995,94.93
0.3,sign_flip,fltrust,1,0.7977,0.7938,99.03
0.3,sign_flip,fltrust,2,0.7842,0.7832,99.2
0.3,sign_flip,fltrust,3,0.8104,0.8072,98.96
0.3,sign_flip,fltrust,4,0.779,0.7737,95.51
0.3,sign_flip,reputation,0,0.8338,0.8337,96.18
0.3,sign_flip,reputation,1,0.8271,0.8274,98.13
0.3,sign_flip,reputation,2,0.829,0.8273,98.09
0.3,sign_flip,reputation,3,0.8249,0.8257,96.03
0.3,sign_flip,reputation,4,0.821,0.8196,96.9
0.3,label_flip,fedavg,0,0.6925,0.6928,78.26
0.3,label_flip,fedavg,1,0.696,0.6958,80.15
0.3,label_flip,fedavg,2,0.701,0.6988,80.44
0.3,label_flip,fedavg,3,0.6488,0.6489,73.57
0.3,label_flip,fedavg,4,0.6449,0.6376,74.4
0.3,label_flip,krum,0,0.8515,0.852,99.33
0.3,label_flip,krum,1,0.8434,0.8436,100.15
0.3,label_flip,krum,2,0.8508,0.8504,100.61
0.3,label_flip,krum,3,0.8515,0.8517,100.59
0.3,label_flip,krum,4,0.8336,0.8351,99.29
0.3,label_flip,median,0,0.8575,0.8577,98.78
0.3,label_flip,median,1,0.8382,0.8378,99.8
0.3,label_flip,median,2,0.8434,0.842,99.78
0.3,label_flip,median,3,0.8506,0.8507,98.63
0.3,label_flip,median,4,0.8523,0.8516,99.85
0.3,label_flip,trimmed_mean,0,0.7386,0.7389,84.39
0.3,label_flip,trimmed_mean,1,0.7444,0.744,87.07
0.3,label_flip,trimmed_mean,2,0.7508,0.749,87.64
0.3,label_flip,trimmed_mean,3,0.6986,0.699,80.16
0.3,label_flip,trimmed_mean,4,0.6775,0.6726,78.79
0.3,label_flip,fltrust,0,0.8412,0.8388,99.24
0.3,label_flip,fltrust,1,0.7964,0.7926,98.87
0.3,label_flip,fltrust,2,0.7873,0.7861,99.6
0.3,label_flip,fltrust,3,0.8158,0.8131,99.62
0.3,label_flip,fltrust,4,0.8051,0.8024,98.71
0.3,label_flip,reputation,0,0.8665,0.8665,99.96
0.3,label_flip,reputation,1,0.8306,0.8308,98.55
0.3,label_flip,reputation,2,0.8438,0.8427,99.85
0.3,label_flip,reputation,3,0.8419,0.8427,98.02
0.3,label_flip,reputation,4,0.8441,0.8439,99.63
0.3,fabricated,fedavg,0,0.8691,0.8687,98.22
0.3,fabricated,fedavg,1,0.8567,0.8565,98.66
0.3,fabricated,fedavg,2,0.8478,0.8468,97.28
0.3,fabricated,fedavg,3,0.861,0.8608,97.63
0.3,fabricated,fedavg,4,0.8573,0.8565,98.89
0.3,fabricated,krum,0,0.8515,0.8512,99.33
0.3,fabricated,krum,1,0.8301,0.8299,98.57
0.3,fabricated,krum,2,0.8515,0.8506,100.7
0.3,fabricated,krum,3,0.8567,0.8571,101.2
0.3,fabricated,krum,4,0.8414,0.8413,100.22
0.3,fabricated,median,0,0.8689,0.8693,100.11
0.3,fabricated,median,1,0.8391,0.8391,99.91
0.3,fabricated,median,2,0.8425,0.8423,99.67
