f,attack,aggregator,acc_mean,acc_ci95,f1_mean,f1_ci95,retained_mean,retained_ci95
0.1,ipm,fedavg,86.78,0.77,86.74,0.79,99.21,0.3
0.1,ipm,fltrust,79.64,0.65,79.26,0.61,97.69,2.16
0.1,ipm,krum,84.57,0.7,84.56,0.66,99.94,0.57
0.1,ipm,median,84.44,1.1,84.46,1.1,98.89,0.17
0.1,ipm,reputation,84.86,0.9,84.87,0.92,99.57,0.25
0.1,ipm,trimmed_mean,85.52,0.83,85.52,0.84,99.02,0.35
0.2,ipm,fedavg,85.99,0.66,85.93,0.68,98.3,0.18
0.2,ipm,fltrust,79.43,0.59,79.05,0.56,97.44,2.27
0.2,ipm,krum,81.91,1.95,81.91,1.88,96.79,2.07
0.2,ipm,median,82.82,1.34,82.8,1.35,97.0,1.31
0.2,ipm,reputation,84.03,0.9,84.03,0.92,98.61,0.41
0.2,ipm,trimmed_mean,84.4,0.99,84.37,1.0,97.73,0.52
0.3,adaptive,fedavg,85.81,0.73,85.78,0.74,98.1,0.33
0.3,adaptive,fltrust,80.45,1.41,80.2,1.35,98.65,1.22
0.3,adaptive,krum,84.45,1.22,84.43,1.25,99.79,0.84
0.3,adaptive,median,84.75,1.0,84.75,1.04,99.26,0.16
0.3,adaptive,reputation,84.67,0.86,84.67,0.9,99.35,0.14
0.3,adaptive,trimmed_mean,85.4,0.93,85.39,0.95,98.88,0.27
0.3,alie,fedavg,85.64,1.0,85.58,1.02,97.9,0.72
0.3,alie,fltrust,81.68,2.08,81.47,2.1,100.14,1.16
0.3,alie,krum,84.14,1.11,84.11,1.12,99.42,0.8
0.3,alie,median,83.58,1.29,83.51,1.29,97.89,1.11
0.3,alie,reputation,84.49,1.3,84.44,1.32,99.14,0.79
0.3,alie,trimmed_mean,84.68,1.04,84.62,1.07,98.05,0.49
0.3,fabricated,fedavg,85.84,0.68,85.79,0.7,98.14,0.59
0.3,fabricated,fltrust,81.28,1.5,81.07,1.46,99.67,0.77
0.3,fabricated,krum,84.62,0.93,84.6,0.93,100.0,0.93
0.3,fabricated,median,85.21,1.07,85.21,1.09,99.8,0.18
0.3,fabricated,reputation,84.76,0.89,84.73,0.92,99.46,0.29
0.3,fabricated,trimmed_mean,85.99,0.86,85.96,0.86,99.57,0.42
0.3,ipm,fedavg,84.99,0.69,84.93,0.71,97.16,0.21
0.3,ipm,fltrust,79.32,0.88,78.91,0.93,97.31,2.43
0.3,ipm,krum,74.6,1.79,74.8,2.06,88.15,1.63
0.3,ipm,median,80.25,2.04,80.21,2.06,93.99,2.44
0.3,ipm,reputation,82.07,1.14,82.07,1.2,96.31,1.02
0.3,ipm,trimmed_mean,82.69,1.01,82.66,1.04,95.74,0.4
0.3,label_flip,fedavg,67.66,2.4,67.48,2.55,77.36,2.81
0.3,label_flip,fltrust,80.92,1.82,80.66,1.81,99.21,0.36
0.3,label_flip,krum,84.62,0.68,84.66,0.64,99.99,0.57
0.3,label_flip,median,84.84,0.67,84.8,0.7,99.37,0.53
0.3,label_flip,reputation,84.54,1.14,84.53,1.14,99.2,0.76
0.3,label_flip,trimmed_mean,72.2,2.82,72.07,2.93,83.61,3.5
0.3,sign_flip,fedavg,19.28,0.65,7.86,1.69,22.05,0.87
0.3,sign_flip,fltrust,79.52,1.17,79.15,1.16,97.53,1.86
0.3,sign_flip,krum,84.63,0.65,84.65,0.67,100.01,0.44
0.3,sign_flip,median,83.37,0.37,83.34,0.43,97.65,0.78
0.3,sign_flip,reputation,82.72,0.42,82.67,0.44,97.07,0.88
0.3,sign_flip,trimmed_mean,19.31,4.0,8.92,4.21,22.33,4.51
